一口丨冂口口井一 囊
草办 苏
艸办 苏
艹办 苏
口属 嘱
口齿 啮
囗口 回
囗人 囚
囗儿 四
囗口 回
囗大 因
囗屯 囤
囗口 回
囗木 困
丶囗夕 囱
囗韦 围
囗冬 图
囗古 固
囗甫 圃
囗卷 圈
囗玉 国
囗韦 围
囗卷 圈
囗元 园
囗员 圆
囗冬 图
囗才 团
十一 土
厂圡 压
一人土 在
一亻土 在
土土 圭
土也 地
土及 圾
土止 址
土匀 均
土方 坊
土丹 坍
土欠 坎
人人土 坐
土亢 坑
土皮 坡
土申 坤
土旦 坦
土平 坪
土丕 坯
土可 坷
丿二土丨丨 垂
土立 垃
刑土 型
土朵 垛
土朵 垛
土后 垢
土亘 垣
土夸 垮
土贝 坝
土更 埂
土矣 埃
土里 埋
土成 城
土甫 埔
土或 域
土阜 埠
手丸 执
扌丸 执
才丸 执
土咅 培
其土 基
尚土 堂
日比 昆
丨丨又土 坚
土隹 堆
保土 堡
土是 堤
土甚 堪
土匽 堰
手卩又 报
扌卩又 报
才卩又 报
土弓丿丿 场
土者 堵
土夬 块
土日羽 塌
土曰羽 塌
朔土 塑
土荅 塔
水余 涂
氵余土塗 涂
氵余 涂
土唐 塘
宀井大土 塞
土真 填
土乌 坞
土卜皿 盐
土真 填
土弓丿丿 场
小土 尘
斩土 堑
土竟 境
野土 墅
执土 垫
土商 墒
莫土 墓
土曾 增
队土 坠
土曾 增
土虚 墟
黑土 墨
土敦 墩
陏土 堕
土文 坟
土啬 墙
艮土 垦
辟土 壁
土云 坛
土不 坏
厂圡 压
厂土丶 压
土豪 壕
厽土 垒
厶厶厶土 垒
土云 坛
土不 坏
土龙 垄
土襄 壤
土贝 坝
十一 士
丿士 壬
丬士 壮
十买 卖
士冖业 壶
士冖豆 壹
士冖业 壶
丰寸 寿
亦又 变
一自夕 夏
一自夂 夏
丿丿丶 夕
夕卜 外
夕夕 多
亠人夕丶 夜
亠亻夕丶 夜
句多 够
木木夕 梦
人火 伙
亻火 伙
人一 大
一大 天
大丶 太
一大 夫
二人 夫
冂大 央
大力 夯
丿夫 失
丶夫 失
大弓 夷
一弓人 夷
大亏 夸
一丷大 夹
大电 奄
大可 奇
大示 奈
手乀一十 奉
一十 奉
大圭 奎
大土土 奎
手乀夭 奏
丰刀大 契
大卉 奔
大镸 套
酋大 奠
大者 奢
丶冂米大 奥
丬夕大 奖
大寸 夺
大田 奋
一丿 女
女又 奴
女乃 奶
女干 奸
女也 她
女子 好
女口 如
亡女 妄
女壬 妊
女戶 妒
女户 妒
女戸 妒
女支 妓
女夭 妖
女少 妙
丬女 妆
